"astro-ph/0302467","Agnieszka Wozna","A. Wozna, L. Kuiper, W. Hermsen","PSR B1929+10 Revisited in X-Rays",,"Astron.Astrophys.434:1097-1105,2005","10.1051/0004-6361:20040368",,"astro-ph",,"  This article has been withdrawn because it was submitted twice
unintentionally.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 17:28:19 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 2003 18:01:31 GMT""}]","2009-01-16"
"astro-ph/0302468","H. C. Spruit","H.C. Spruit and G. Drenkhahn","Magnetically powered prompt radiation and flow acceleration in GRB","To appear (in shortened form) in Proceedings ""Gamma Ray Bursts in the
  Afterglow Era, Third Workshop"" (Rome, Sept 2002)",,,,"astro-ph",,"  The physics of GRB powered by a magnetic energy flux is reviewed. Magnetic
fields are natural for transmitting the energy from the central compact object
to the small amount of baryons required for a GRB. When dissipation of the flux
of magnetic energy by reconnection inside the flow is taken into account, the
magnetic model assumes several more convincing properties. For baryon loading
typical of observed GRB, most of the dissipation takes place just outside
photosphere, so that prompt emission is produced efficiently, and the magnetic
field strength in this region is high, resulting in efficient synchrotron
emission. Remarkably, the dissipation also causes very efficient acceleration
of the bulk flow. This effect is illustrated with a classical hydrodynamic
equivalent. In this context, the distinction between the flux of magnetic
energy $cB^2/8\pi$ and the Poynting flux $cB^2/4\pi$ is important, and an
interpretation of the Poynting flux as a `magnetic enthalpy flux' illuminating.
Numerical and analytical results for flow acceleration and the relative
contribution of photospheric (thermal) and nonthermal emission as functions of
the asymptotic bulk Lorentz factor are given. The transition between X-ray
flashes and true GRB is predicted at $\Gamma\approx 100$.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 19:41:05 GMT""}]","2007-05-23"
"astro-ph/0302469","Dr. Mario Rabinowitz","Mario Rabinowitz","Consequences of Gravitational Tunneling Radiation","25 pages, 1 figures, 0 tables A few important sentences are added to
  Sec. 10","Focus on Astrophysics Research, Editor L.V. Ross; Nova Science
  Publishers, Inc. N.Y.; pp. 85 - 108 (2003)",,,"astro-ph",,"  Gravitational tunneling radiation (GTR) from a black hole is similar to
electric field emission of electrons from a metal. There is always a second
body to give the gravitational barrier of a black hole a finite rather than
infinite width so that a particle can escape by tunneling. Thus GTR may be
emitted from black holes in a process differing from that of Hawking radiation
(HR) with broad ranging astrophysical ramifications. HR of an ""isolated"" black
hole is an abstraction which has not been detected in three decades, and which
may not exist. GTR is beamed, in contrast to HR, which is isotropic. Little
black holes may account for much of the dark matter of the universe, and hence
the anomalous rotation of spiral galaxies, as well as contribute to the
accelerated expansion of the universe. The absence of HR permits the existence
of little black hole gravitationally bound atoms with quantized orbits and
quantized gravitational radiation. Since some theories speculate that the early
universe may have existed in n-dimensional space, certain results will be
presented both for general n-space and for the 3-space in which we live. An
inconsistency between quantum mechanics and the equivalence principle is
demonstrated. It is shown that angular momentum cannot be quantized in the
usual manner in 4-space, with possible consequences for Kaluza-Klein theory. An
hypothesis is presented for reducing the enormously too-large vacuum zero-point
energy. String theory may be impacted by the finding that atoms are not
energetically stable in higher than 3-space. GTR avoids the black hole lost
information paradox.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 19:55:24 GMT""},{""version"":""v2"",""created"":""Sun, 9 Mar 2003 05:23:57 GMT""},{""version"":""v3"",""created"":""Sun, 6 Apr 2003 17:52:16 GMT""},{""version"":""v4"",""created"":""Wed, 25 Jan 2006 04:34:08 GMT""}]","2007-05-23"
"astro-ph/0302470","Gilberto C. Gomez","Donald P. Cox","In ISM Modeling, The Devil is in the Details: You Show Me Your OVI and
  I'll Show You Mine","To be published in ""From Observations to Self-Consistent Modelling of
  the ISM in Galaxies"", eds. M. Avillez & D. Breitschwerdt, Kluwer Astrophys. &
  Space Sci. Series","Astrophys.Space Sci. 289 (2004) 469-477","10.1023/B:ASTR.0000014980.89585.ec",,"astro-ph",,"  The three sections of this paper illustrate the importance of rationalizing
ISM theory and modeling with the observational information.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 22:19:38 GMT""}]","2009-11-07"
"astro-ph/0302471","Michael Zemcov","Michael Zemcov, Peter Newbury, Mark Halpern","Estimates of Confusion and Gravitational Lensing Limits in
  Sunyaev-Zel'dovich Increment Measurements","5 pages, 3 figures, submitted to MNRAS",,,,"astro-ph",,"  We present estimates of the confusion limit of measurements of the
Sunyaev-Zel'dovich effect (SZ) increment near its peak intensity based on Monte
Carlo simulations of sub-millimetre observations of galaxy clusters.
Specifically, we evaluate the contribution of gravitational lensing of high
redshift background sources by a target cluster to its inferred SZ signal. We
find that the background confusion limit is 0.6 mJy per beam without any
lensing. With gravitational lensing, the confusion limit increases to 0.9 mJy
per beam. Removing bright sources in the gravitationally lensed fields
decreases the confusion limit to 0.7 mJy per beam, essentially background
levels. These limits are found by removing exceptionally poor fits to the
expected SZ profile, which are due to the different structure of the SZ and
lensing angular profiles.
  We conclude that experiments designed to measure the SZ increment must have
high enough angular resolution to identify background point sources while
surveying enough of the sky to determine the SZ profile. Observations of the SZ
increment with SCUBA, which has sufficient sensitivity and resolution for the
task, should be straight forward.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 02:56:43 GMT""}]","2007-05-23"
"cond-mat/0302455","Tigran V. Shahbazyan","T. V. Shahbazyan, M. E. Raikh","Many-body luminescence from highly excited quantum-confined structures","24 pages. A review article for ""Computational Material Science"",
  Elsevier",,,,"cond-mat.mes-hall cond-mat.str-el",,"  We review recent results on many-body effects in the luminescence from
semiconductor nanostructures. Many-body luminescence from highly excited
quantum-confined structures is conceptually important topic since a new
parameter, a level spacing, plays a crucial role. This spacing is not merely a
discretization of the bulk luminescence spectrum, as it could seem. The
interplay of finite spacing with interactions (even weak) results in a highly
nontrivial sequence of emission lines, their heights revealing the many-body
correlations in the system. Here the complex structure of the emission
spectrum, resulting from the shakeup processes in many-particle (but finite)
system, is demonstrated for a confined electron-hole system of a particular
geometry, in which the interacting carriers are confined to a ring. For this
geometry, the Luttinger liquid theory allows one to exactly calculate the
intensities of all many-body spectral lines. The positions of the lines are
governed by the relation of the level spacings for electrons and holes. While
close to the emission threshold the interactions cause only weak shakeup
satellites of the single-particle lines, away from the threshold the discrete
luminescence spectrum is completely dominated by the many-body transitions. We
describe the Luttinger liquid approach for calculations of optical spectra in
finite one-dimensional systems. The calculations are preceded by a detailed
review of experimental and theoretical work on many-body luminescence from
various infinite systems. We also review the current status of the experimental
and theoretical research on quantum nanorings.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 16:24:38 GMT""},{""version"":""v2"",""created"":""Fri, 10 Oct 2003 20:25:44 GMT""}]","2007-05-23"
"cond-mat/0302463","Hendry Izaac Elim","H.I. Elim, J. Ouyang, S.H. Goh, and W. Ji","Nonlinear optical performances of supramolecular 1-(4-Methyl)-
  piperazinylfullerene[60] - containing polysiloxane","3 pages, 3 figures; Submitted to CLEO/Pacific Rim 2003, Taiwan","CLEO/Pacific Rim 2003 (Conference Proceedings)",,,"cond-mat.mtrl-sci physics.chem-ph physics.optics",,"  The nonlinear optical (NLO) properties of 1-(4-Methyl)-
piperazinylfullerene[60] (MPF) incorporated with a polysiloxane copolymer
denoted as PSI-46 have been studied using nanosecond laser pulses at 532-nm
wavelength. The optical limiting performance of MPF itself is poorer than that
of its parent C60, while the contribution of PSI-46 attached to the MPF shows
marginally improvement from the ratio of MPF/PSI-46(1:2) to MPF/PSI-46(1:6).
However, the effect can be neglected to the MPF optical limiting responses. The
photoluminescence emission of MPF-containing polymers was slightly improved in
comparison with that of MPF. The possible sources for the slightly improvement
in the NLO behaviour are discussed.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 16:55:45 GMT""}]","2007-05-23"
"cond-mat/0302464","Li You","S. Yi, \""O. E. M\""ustecapl{\i}o\u{g}lu, and L. You","The dynamics of quantum phases in a spinor condensate","5 figures, an extended version of cond-mat/0301178",,"10.1103/PhysRevA.68.013613",,"cond-mat quant-ph",,"  We discuss the quantum phases and their diffusion dynamics in a spinor-1
atomic Bose-Einstein condensate. For ferromagnetic interactions, we obtain the
exact ground state distribution of the phases associated with the total atom
number ($N$), the total magnetization (${\cal M}$), and the alignment (or
hypercharge) ($Y$) of the system. The mean field ground state is stable against
fluctuations of atom numbers in each of the spin components, and the phases
associated with the order parameter for each spin components diffuse while
dynamically recover the two broken continuous symmetries [U(1) and SO(2)] when
$N$ and ${\cal M}$ are conserved as in current experiments. We discuss the
implications to the quantum dynamics due to an external (homogeneous) magnetic
field. We also comment on the case of a spinor-1 condensate with
anti-ferromagnetic interactions.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 17:58:36 GMT""}]","2009-11-10"
"cs/0302032","Philipp Koehn","Philipp Koehn and Kevin Knight","Empirical Methods for Compound Splitting","8 pages, 2 figures. Published at EACL 2003",,,,"cs.CL",,"  Compounded words are a challenge for NLP applications such as machine
translation (MT). We introduce methods to learn splitting rules from
monolingual and parallel corpora. We evaluate them against a gold standard and
measure their impact on performance of statistical MT systems. Results show
accuracy of 99.1% and performance gains for MT of 0.039 BLEU on a
German-English noun phrase translation task.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 23:37:26 GMT""}]","2007-05-23"
"gr-qc/0302091","Andrzej Woszczyna","Zdzislaw A. Golda and Andrzej Woszczyna","A field theory approach to cosmological density perturbations",,"Phys.Lett. A310 (2003) 357-362","10.1016/S0375-9601(03)00380-3",,"gr-qc",,"  Adiabatic perturbations propagate in the expanding universe like scalar
massless fields in some effective Robertson-Walker space-time.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 21:16:19 GMT""},{""version"":""v2"",""created"":""Sat, 24 Apr 2004 20:37:09 GMT""}]","2009-11-10"
"gr-qc/0302092","Paul S. Wesson","Paul S. Wesson","The Equivalence Principle as a Symmetry",,"Gen.Rel.Grav. 35 (2003) 307-317","10.1023/A:1022345211439",,"gr-qc",,"  It is shown that the extra coordinate of 5D induced-matter and membrane
theory is related in certain gauges to the inertial rest mass of a test
particle. This implies that the Weak Equivalence Principle is a geometric
symmetry, valid only in the limit in which the test mass is negligible compared
to the source mass. Exact solutions illustrate this, and show the way to
possible resolutions of the cosmological-constant and hierarchy problems.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 22:23:29 GMT""}]","2015-06-25"
