"astro-ph/0301058","Yun Wang","Pia Mukherjee, and Yun Wang","Wavelet Band Powers of the Primordial Power Spectrum from CMB Data","revised version accepted by ApJ","Astrophys.J. 593 (2003) 38","10.1086/376500",,"astro-ph hep-ph",,"  Measuring the primordial matter power spectrum is our primary means of
probing unknown physics in the very early universe. We allow the primordial
power spectrum to be an arbitrary function, and parametrize it in terms of
wavelet band powers. Current cosmological data correspond to 11 such wavelet
bands. We derive constraints on these band powers as well as $H_0$, $\Omega_b
h^2$ and $\Omega_m h^2$ from current Cosmic Microwave Background Anisotropy
(CMB) data using the Markov Chain Monte Carlo (MCMC) technique. Our results
indicate a feature in the primordial power spectrum at $ 0.008 \la k/(h
{Mpc}^{-1}) \la 0.1$. MAP and Planck data should allow us to put tighter
constraints on the primordial power spectrum.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:09:12 GMT""},{""version"":""v2"",""created"":""Wed, 23 Apr 2003 17:34:10 GMT""}]","2009-11-07"
"astro-ph/0301060","Di Li","D. Li, P. F. Goldsmith & K. Menten","Massive Quiescent Cores in Orion. I. Temperature Structure","32 pages, 10 figures, accepted by ApJ","Astrophys.J. 587 (2003) 262-277","10.1086/368078",,"astro-ph",,"  We have mapped four massive cores in Orion using the \ammonia (J,K) = (1,1)
and (J,K) = (2,2) inversion transitions, as part of our effort to study the
pre--protostellar phase of massive star formation. These cores were selected to
be quiescent, i.e. they contain no apparent IR sources and are not associated
with any molecular outflows. These cores are one order of magnitude more
massive than dark cloud cores and have about twice the line width. This paper
focuses on their temperature structure. We find a statistically significant
correlation between the gas kinetic temperature and the gas column density. The
general trend is for the gas to be colder where the column density is higher,
which we interpret to mean that the interiors of these cores are colder than
the regions surrounding them. This is in contrast with dark cloud cores, which
exhibit relatively flat temperature profiles. The temperature gradient within
the massive quiescent Orion cores is consistent with an external radiation
source heating the dust, and dust--gas collisions providing relatively close
coupling between dust and gas temperatures. From linewidth and temperature, we
also obtained the spatial distribution of the turbulence. An anticorrelation is
found between the intensity of emission and the degree of turbulence. Thus, we
suggest that the initial stage of massive pre--protostellar cloud cores is
relatively quiescent condensations which are cooler than their surroundings.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 16:20:50 GMT""}]","2009-11-07"
"astro-ph/0301067","Rodrigo Ibata","R. A. Ibata, M. J. Irwin, G. F. Lewis, A. M. N. Ferguson, N. Tanvir","One Ring to Encompass them All: A giant stellar structure that surrounds
  the Galaxy","8 pages, 10 (compressed) figures, accepted by MNRAS","Mon.Not.Roy.Astron.Soc.340:L21,2003","10.1046/j.1365-8711.2003.06545.x",,"astro-ph",,"  We present evidence that the curious stellar population found by the Sloan
Digital Sky Survey in the Galactic anticentre direction extends to other
distant fields that skirt the plane of the Milky Way. New data, taken with the
INT Wide Field Camera show a similar population, narrowly aligned along the
line of sight, but with a Galactocentric distance that changes from ~15 kpc to
\~20 kpc (over ~100 degrees on the sky). Despite being narrowly concentrated
along the line of sight, the structure is fairly extended vertically out of the
plane of the Disk, with a vertical scale height of 0.75+/-0.04 kpc. This
finding suggests that the outer rim of the Galaxy ends in a low-surface
brightness stellar ring. Presently available data do not allow us to ascertain
the origin of the structure. One possibility is that it is the wraith of a
satellite galaxy devoured long-ago by the Milky Way, though our favoured
interpretation is that it is a perturbation of the disk, possibly the result of
ancient warps. Assuming that the Ring is smooth and axisymmetric, the total
stellar mass in the structure may amount to 2x10^8 up to 10^9 Solar masses.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 16:28:45 GMT""},{""version"":""v2"",""created"":""Tue, 18 Feb 2003 14:26:07 GMT""}]","2009-11-07"
"astro-ph/0301082","Di Li","Di Li, Paul F. Goldsmith & Gary J. Melnick","Large Scale Mapping of the $\rho$ Ophiuchi Regions by SWAS","3 pages, 2 figures, Star Formation Chemistry meeting in Waterloo,
  Canada",,,,"astro-ph",,"  We have completed a 3 square degree CI $^3$P$_1$-$^3$P$_0$ map of the \r\
Ophiuchi regions using SWAS. The remarkably stable receiver and backends
systems of SWAS allow for uniformly calibrated data set on this scale. Combined
with \co, \13co, and \c18o maps made using FCRAO, this data set will facilitate
a thorough study of the physics and the chemistry in this nearby star forming
region.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 16:47:41 GMT""}]","2007-05-23"
"astro-ph/0301083","Nelson David Padilla","N. D. Padilla and C. M. Baugh","The power spectrum of galaxy clustering in the APM survey","20 pages, 19 postscript figures, final version accepted for
  publication in MNRAS. Info and figures at
  http://star-www.dur.ac.uk/~nelsonp/apm/APM.html","Mon.Not.Roy.Astron.Soc. 343 (2003) 796","10.1046/j.1365-8711.2003.06725.x",,"astro-ph",,"  We measure the power spectrum of galaxy clustering in real space from the APM
Galaxy Survey. We present an improved technique for the numerical inversion of
Limber's equation that relates the angular clustering of galaxies to an
integral over the power spectrum in three dimensions. Our approach is
underpinned by a large ensemble of mock galaxy catalogues constructed from the
Hubble Volume N-body simulations. The mock catalogues are used to test for
systematic effects in the inversion algorithm and to estimate the errors on our
measurement. We find that we can recover the power spectrum to an accuracy of
better than 15% over three decades in wavenumber. A key advantage of the use of
mock catalogues to infer errors is that we can apply our technique on scales
for which the density fluctuations are not Gaussian, thus probing the regime
that offers the best constraints on models of galaxy formation. On large
scales, our measurement of the power spectrum is consistent with the shape of
the mass power spectrum in the popular ``concordance'' cold dark matter model.
The galaxy power spectrum on small scales is strongly affected by nonlinear
evolution of density fluctuations, and, to a lesser degree, by galaxy bias. The
rms variance in the galaxy distribution, when smoothed in spheres of radius 8
h^(-1)Mpc, is sigma^g_8=0.96^(+0.17)_(-0.20) and the shape of the power
spectrum on large scales is described by a simple fitting formula with
parameter Gamma= 0.19^(+0.13)_(-0.04) (these errors are the 1-sigma ranges for
a two parameter fit). We use our measurement of the power spectrum to estimate
the galaxy two point correlation function; the results are well described by a
power law with correlation length r_0 = 5.9 +- 0.7 h^(-1)Mpc and slope gamma =
1.61 +- 0.06 for pair separations in the range 0.1 < r/[h^(-1)Mpc] < 20.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 18:46:27 GMT""},{""version"":""v2"",""created"":""Mon, 7 Apr 2003 17:47:41 GMT""},{""version"":""v3"",""created"":""Mon, 28 Jul 2003 16:22:40 GMT""}]","2009-11-07"
"astro-ph/0301084","Iwata Ikuru","I. Iwata, K. Ohta (Kyoto Univ.), N. Tamura (Univ. Durham), M. Ando, S.
  Wada, C. Watanabe (Kyoto Univ.), M. Akiyama, K. Aoki (NAOJ)","Lyman Break Galaxies at z~5: Luminosity Function","21 pages, 11 figures. Accepted for Publication in PASJ. Higher
  resolution images are available at
  http://www.kusastro.kyoto-u.ac.jp/%7Eiwata/preprint/",,"10.1093/pasj/55.2.415",,"astro-ph",,"  (abridged) We present results of a search for Lyman break galaxies (LBGs) at
z ~ 5 in a 618 square-arcmin field including the HDF-N taken by Subaru Prime
Focus Camera. Utilizing the published redshift data of the HDF-N and its
flanking fields, the color selection criteria are chosen so that LBGs are
picked out most efficiently and least contaminated by foreground objects. The
numbers of LBG candidates detected are 310 in 23.0 < I_c < 25.5. The rest-frame
UV luminosity function(LF) of LBGs at z ~ 5 is derived statistically. The
fraction of contamination is estimated to be ~50% in the faintest magnitude
range. The completeness of the survey is ~80% at the bright part of the sample,
and ~20% in the faintest magnitude range (25.0 < I_c <= 25.5). The LF of LBG
candidates at z ~ 5 does not show a significant difference from those at z ~ 3
and 4, though there might be a slight decrease in the fainter part. The UV
luminosity density within the observational limit is 0.56 - 0.69 times smaller
than that obtained for LBGs at z ~ 3, depending on the adopted cosmology and
the integration range of the LF. The similarity of the LFs at redshifts 5 to 3
implies that most of LBGs at z ~ 5 should have faded out at z ~ 3 and LBGs at z
\~ 5 are different galaxies from those seen at z ~ 3, if we take face values
for ages of the LBGs at z ~ 3 obtained by the SED fitting in which a continuous
star formation in an individual galaxy is assumed. However, if the star
formation in LBGs is sporadic, the similarity of the LF at z ~ 3 and 5 would be
explained. Such sporadic star formation has been suggested by hydrodynamical
simulations and semi-analytic models with collisional starbursts, and the trend
of the cosmic star formation history predicted by these studies resembles to
that estimated from the UV luminosity density within the observational limit.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:38:10 GMT""}]","2015-06-24"
"astro-ph/0301085","Mario Everaldo de Souza","Mario Everaldo de Souza","An Alternative to the Variation of the Fine Structure Constant","04 pages, Latex",,,"UFS-01-2003","astro-ph hep-ex hep-ph",,"  It is considered that quasars evolve into normal galaxies by means of
expansion of matter. The order of magnitude of the expansion velocity can be
estimated. The Doppler shift caused by such expansion explains the supposed
variation of the fine structure constant. This variation has been based on
observations of absorption lines of gas clouds seen against background quasars.
These ideas maintain the constancy of the fine structure constant.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:52:04 GMT""}]","2007-05-23"
"astro-ph/0301086","Eva K. Grebel","Michael Odenkirchen, Eva K. Grebel, Hans-Walter Rix (MPIA), Walter
  Dehnen (AIP), Heidi Jo Newberg (RPI), Constance M. Rockosi (U. Washington),
  and Brian Yanny (Fermilab)","The Extended Tidal Tails of Palomar 5: Tracers of the Galactic Potential","4 pages, 3 figures, uses newpasp.sty. To appear in: Proceedings of
  the Monte Rosa Conference ""GAIA Spectroscopy, Science, and Technology"",
  Gressoney Saint Jean (Valle d'Aosta, Italy), Sept 9-12, 2002, ed. U. Munari,
  ASP Conf. Ser., in press",,,,"astro-ph",,"  We detected extended, curved stellar tidal tails emanating from the sparse,
disrupting halo globular cluster Pal 5, which cover 10 degrees on the sky.
These streams allow us to infer the orbit of Pal 5 and to ultimately constrain
the Galactic potential at its location.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:00:26 GMT""}]","2007-05-23"
"astro-ph/0301087","Andrei Linde","Renata Kallosh and Andrei Linde","Dark Energy and the Fate of the Universe","7pages, 6 figs","JCAP 0302:002,2003","10.1088/1475-7516/2003/02/002",,"astro-ph gr-qc hep-ph hep-th",,"  It is often assumed that in the course of the evolution of the universe, the
dark energy either vanishes or becomes a positive constant. However, recently
it was shown that in many models based on supergravity, the dark energy
eventually becomes negative and the universe collapses within the time
comparable to the present age of the universe. We will show that this
conclusion is not limited to the models based on supergravity: In many models
describing the present stage of acceleration of the universe, the dark energy
eventually becomes negative, which triggers the collapse of the universe within
the time t = 10^10-10^11 years. The theories of this type have certain
distinguishing features that can be tested by cosmological observations.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 22:23:44 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jan 2003 02:53:37 GMT""}]","2009-09-29"
"astro-ph/0301088","Lucio Mayer","Lucio Mayer (University of Zurich), Thomas Quinn (University of
  Washington), James Wadsley (McMaster University), Joachim Stadel (University
  of Zurich)","Formation of giant planets by fragmentation of protoplanetary disks","13 pages, 2 Figures. Text and artwork are slightly different from the
  version published on Science. More hi-res picture and movies can be found at
  http://www.astro.washington.edu/mayer","Science298:1756,2002","10.1126/science.1077635",,"astro-ph",,"  The evolution of gravitationally unstable protoplanetary gaseous disks has
been studied with the use of three-dimensional smoothed particle hydrodynamics
simulations with unprecedented resolution. We have considered disks with
initial masses and temperature profiles consistent with those inferred for the
protosolar nebula and for other protoplanetary disks. We show that
long-lasting, self-gravitating protoplanets arise after a few disk orbital
periods if cooling is efficient enough to maintain the temperature close to 50
K. The resulting bodies have masses and orbital eccentricities similar to those
of detected extrasolar planets.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:21:32 GMT""}]","2008-11-26"
"astro-ph/0301089","Simon Pustilnik","S. Pustilnik, A.Kniazev, A. Pramskij, A. Ugryumov","Search for and study of extremely metal-deficient galaxies","4 pages, 3 figures. To appear in the proceedings of Euroconference
  ""The evolution of galaxies. III. From simple approaches to self-consistent
  models"" Kiel, Germany, July 2002","Astrophys.Space Sci. 284 (2003) 795-798","10.1023/A:1024033608864",,"astro-ph",,"  We summarize the progress in identifying and observational study of extremely
metal-deficient (XMD) gas-rich galaxies (BCGs, dIr and LSBDs). Due to volume
limitations only following issues are addressed: sample creation, some
statistical data, Colour-Magnitude Diagrams (CMD) and ages, the case of SBS
0335--052 system, and probable evolution paths of various XMD objects.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:31:26 GMT""}]","2009-11-07"
