"astro-ph/0306364","Robert J. Scherrer","Casey R. Watson and Robert J. Scherrer","The Evolution of Inverse Power Law Quintessence at Low Redshift","6 pages, 6 figures, new figure added, numerous clarifications","Phys.Rev.D68:123524,2003","10.1103/PhysRevD.68.123524",,"astro-ph gr-qc hep-ph",,"  Quintessence models based on a scalar field, phi, with an inverse power law
potential display simple tracking behavior at early times, when the
quintessence energy density, rho_phi, is sub-dominant. At late times, when
rho_phi becomes comparable to the matter density, the evolution of phi diverges
from its scaling behavior. We calculate the first order departure of phi from
its tracker solution at low redshift. Our results for the evolution of phi,
rho_phi, Omega_phi, and w are suprisingly accurate even down to z=0. We find
that w and Omega_phi are related linearly to first order. We also derive a
semi-analytic expression for w(z) which is accurate to within a few percent.
Our analytic techniques are potentially applicable to any quintessence model in
which the quintessence component comes to dominate at late times.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:12:18 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 2003 15:45:22 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 2003 20:25:40 GMT""}]","2009-11-10"
"astro-ph/0306365","Atsushi Takeda","A.Takeda, M.Minowa, K.Miuchi, H.Sekiya, Y.Shimizu, Y.Inoue, W.Ootani,
  Y.Ootuka","Limits on the WIMP-Nucleon Coupling Coefficients from Dark Matter Search
  Experiment with NaF Bolometer","10 pages, 4 figures","Phys.Lett.B572:145-151,2003","10.1016/j.physletb.2003.07.090",,"astro-ph",,"  We have performed the underground dark matter search experiment with a sodium
fl uoride (NaF) bolometer array from 2002 through 2003 at Kamioka Observatory
(2700 m.w.e.). The bolometer array consists of eight NaF absorbers with a total
mass of 176 g, and sensitive NTD germanium thermistors glued to each of them.
This experiment aims for the direct detection of weakly interacting massive
part icles (WIMPs) via spin-dependent interaction. With an exposure of 3.38 kg
days, we derived the limits on the WIMP-n ucleon coupling coefficients, a_p and
a_n. These limits confirmed and tightened those derived from our previous
results wit h the lithium fluoride (LiF) bolometer. Our results excluded the
parameter space complementary to the results obtained b y NaI detectors of
UKDMC experiment.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:21:21 GMT""},{""version"":""v2"",""created"":""Mon, 6 Oct 2003 09:51:15 GMT""},{""version"":""v3"",""created"":""Thu, 9 Oct 2003 01:48:38 GMT""}]","2009-09-29"
"astro-ph/0306366","Igor Moskalenko","V. S. Ptuskin (IZMIRAN), F. C. Jones (NASA/GSFC), I. V. Moskalenko
  (NASA/GSFC), V. N. Zirakashvili (IZMIRAN)","Dissipation of Hydromagnetic Waves on Energetic Particles: Impact on
  Interstellar Turbulence and Cosmic Ray Transport","4 pages, tsukuba.sty, to appear in the Proc. 28th International
  Cosmic Ray Conference (Tsukuba, Japan 2003)","Proc. 28th ICRC Tsukuba, 2003, pp.1929-1932",,,"astro-ph",,"  The diffusion of galactic cosmic rays (CR) is considered. It is anticipated
that the nonlinear MHD cascade sets the power-law spectrum of turbulence from
the principle scale 100 pc to much smaller scales. We found that the
dissipation of waves due to the resonant interaction with energetic particles
may terminate the cascade at less than 1.e13 cm. The shape of CR diffusion
coefficient that was found may explain the observed peaks of secondary to
primary nuclei ratios at a few GeV/n.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:10:45 GMT""}]","2007-05-23"
"astro-ph/0306367","Igor Moskalenko","I. V. Moskalenko (NASA/GSFC), S. G. Mashnik (LANL)","Evaluation of Production Cross Sections of Li, Be, B in CR","4 pages, 27 ps-figures, tsukuba.sty, to appear in the Proc. 28th
  International Cosmic Ray Conference (Tsukuba, Japan 2003)","Proc. 28th ICRC Tsukuba, 2003, pp.1969-1972",,"LANL Report LA-UR-03-3323","astro-ph hep-ph nucl-ex nucl-th",,"  Accurate evaluation of production cross sections of light elements is
important for models of CR propagation, galactic chemical evolution, and
cosmological studies. However, experimental spallation cross section data are
scarce and often unavailable to CR community while semi-empirical systematics
are frequently wrong by a significant factor. We use all available data from
LANL nuclear database together with modern nuclear codes to produce evaluated
production cross sections of isotopes of Li, Be, B suitable for astrophysical
applications.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:25:19 GMT""}]","2007-05-23"
"astro-ph/0306368","Igor Moskalenko","I. V. Moskalenko (NASA/GSFC), A. W. Strong (MPE, Garching), S. G.
  Mashnik (LANL), J. F. Ormes (NASA/GSFC)","Antiprotons in CR: What Do They Tell Us?","4 pages, tsukuba.sty, to appear in the Proc. 28th International
  Cosmic Ray Conference (Tsukuba, Japan 2003)","Proc. 28th ICRC Tsukuba, 2003, pp.1921-1924",,"LANL Report LA-UR-03-3405","astro-ph hep-ph",,"  Recent measurements of the CR antiproton flux have been shown to pose a
problem for conventional propagation models. In particular, models consistent
with secondary/primary nuclei ratio in CR produce too few antiprotons, while
matching the ratio and the antiproton flux requires ad hoc assumptions. This
may indicate an additional local CR component or new phenomena in CR
propagation in the Galaxy. We discuss several possibilities which may cause
this problem.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:32:23 GMT""}]","2007-05-23"
"astro-ph/0306369","Stefano Gabici","Stefano Gabici (Universita' di Firenze), Pasquale Blasi (INAF/Arcetri)","On the Detectability of Gamma Rays from Clusters of Galaxies: Mergers
  versus Secondary Infall","20 pages, 3 figures","Astropart.Phys.20:579-590,2004","10.1016/j.astropartphys.2003.09.002",,"astro-ph",,"  Particle acceleration in clusters of galaxies is expected to take place at
both merger and accretion shocks. The electron component may be energized to
energies of several TeV, and upscatter a small fraction of the photons in the
cosmic microwave background up to gamma ray energies. We address here the issue
of the detectability of the gamma radiation generated either in merger events
or during the accretion of matter onto cluster potential wells. The predictions
are specialized to the cases of GLAST and AGILE, for which a few tens of
clusters are expected to be detected, and to Cherenkov telescopes, for which
however the perspectives do not appear to be optimistic.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:32:46 GMT""}]","2009-11-10"
"astro-ph/0306370","Christopher D'Andrea","J. Poirier, C. D'Andrea, J. Gress, and D. Race","Search for Sub-TeV Gamma Rays Coincident with BATSE Gamma Ray Bursts","To be presented at the XXVIII International Cosmic Ray Conference,
  Tsukuba, Japan",,"10.1103/PhysRevD.67.042001",,"astro-ph",,"  Project GRAND is a 100m x 100m air shower array of proportional wire chambers
(PWCs). There are 64 stations each with eight 1.29 m^2 PWC planes arranged in
four orthogonal pairs placed vertically above one another to geometrically
measure the angles of charged secondaries. A steel plate above the bottom pair
of PWCs differentiates muons (which pass undeflected through the steel) from
non-penetrating particles. FLUKA Monte Carlo studies show that a TeV gamma ray
striking the atmosphere at normal incidence produces 0.23 muons which reach
ground level where their angles and identities are measured. Thus,
paradoxically, secondary muons are used as a signature for gamma ray primaries.
The data are examined for possible angular and time coincidences with eight
gamma ray bursts (GRBs) detected by BATSE. Seven of the GRBs were selected
because of their good acceptance by GRAND and high BATSE Fluence. The eighth
GRB was added due to its possible coincident detection by Milagrito. For each
of the eight candidate GRBs, the number of excess counts during the BATSE T90
time interval and within plus or minus five degrees of BATSE's direction was
obtained. The highest statistical significance reported in this paper (2.7
sigma) is for the event that was predicted to be the most likely to be observed
(GRB 971110).
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:59:43 GMT""}]","2009-11-10"
"astro-ph/0306371","Christopher D'Andrea","J. Poirier, C. D'Andrea, M. Lopez del Puerto, E. Strahler, J.
  Vermedahl","A Proportional Wire Chamber Array: GRAND's Status","To be presented at the XXVIII International Cosmic Ray Conference,
  Tsukuba, Japan",,,,"astro-ph",,"  Project GRAND is a 100m x 100m air shower array of position sensitive
proportional wire chambers (PWCs) located at 41.7 degrees North and 86.2
degrees West at an elevation of 220m above sea level. Its convenient location
adjacent to the campus of the University of Notre Dame makes it a good training
ground for students. There are 64 stations each with eight 1.29 m^2 PWCs. The
geometry of the stations allows for the angles of charged secondaries to be
determined to within 0.26 degrees in each of two orthogonal planes; muons are
differentiated from electrons and hadrons by means of a steel plate. Two
triggers are run simultaneously: a multiple hit coincidence trigger, rich in
extensive air showers, and a single track trigger, rich in secondary muon
tracks. The former trigger is sensitive to primary energies greater than ~100
TeV, the latter to energies greater than ~10 GeV.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:15:35 GMT""}]","2007-05-23"
"astro-ph/0306372","Kris Sigurdson","Kris Sigurdson, Andriy Kurylov, Marc Kamionkowski (Caltech)","Spatial Variation of the Fine-Structure Parameter and the Cosmic
  Microwave Background","17 pages, 11 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev.D68:103509,2003","10.1103/PhysRevD.68.103509",,"astro-ph hep-ph",,"  We study the effects on cosmic microwave background (CMB) temperature and
polarization anisotropies of spatial fluctuations of the fine-structure
parameter between causally disconnected regions of the Universe at the time of
recombination. Analogous to weak gravitational lensing, in addition to
modifying the mean power spectra and inducing a curl component (B mode) to the
polarization, spatial fluctuations of the fine-structure parameter induce
higher-order (non-Gaussian) temperature and polarization correlations in the
CMB. We calculate these effects for the general case of arbitrary correlation
between temperature fluctuations and fine-structure parameter fluctuations, and
show the results for a model where these two types of fluctuations are
uncorrelated. The formalism we present here may also be applied to other
modifications of recombination physics that do not significantly alter the
evolution of the dominant density perturbations. We discuss the constraints on
the effective Lagrangian for variable fine-structure parameter necessary to
realize this scenario.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 07:01:05 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 2003 01:31:07 GMT""}]","2014-10-13"
"astro-ph/0306373","Nate McCrady","Nate McCrady, Andrea M. Gilbert and James R. Graham (UC Berkeley)","Kinematic Masses of Super Star Clusters in M82 from High-Resolution
  Near-Infrared Spectroscopy","16 pages, 8 figures; ApJ, in press","Astrophys.J.596:240-252,2003","10.1086/377631",,"astro-ph",,"  Using high-resolution (R~22,000) near-infrared (1.51 -- 1.75 microns) spectra
from Keck Observatory, we measure the kinematic masses of two super star
clusters in M82. Cross-correlation of the spectra with template spectra of cool
evolved stars gives stellar velocity dispersions of sigma_r=15.9 +/- 0.8 km/s
for MGG-9 and sigma_r=11.4 +/- 0.8 km/s for MGG-11. The cluster spectra are
dominated by the light of red supergiants, and correlate most closely with
template supergiants of spectral types M0 and M4.5. We fit King models to the
observed profiles of the clusters in archival HST/NICMOS images to measure the
half-light radii. Applying the virial theorem, we determine masses of 1.5 +/-
0.3 x 10^6 M_sun for MGG-9 and 3.5 +/- 0.7 x 10^5 M_sun for MGG-11. Population
synthesis modelling suggests that MGG-9 is consistent with a standard initial
mass function, whereas MGG-11 appears to be deficient in low-mass stars
relative to a standard IMF. There is, however, evidence of mass segregation in
the clusters, in which case the virial mass estimates would represent lower
limits.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 20:00:17 GMT""}]","2009-11-10"
"astro-ph/0306374","Kelly Holley-Bockelmann","Kelly Holley-Bockelmann, Martin Weinberg and Neal Katz","Bar-Induced Evolution of Dark Matter Cusps","28 pages, 21 figures. Submitted to MNRAS","Mon.Not.Roy.Astron.Soc.363:991-1007,2005","10.1111/j.1365-2966.2005.09501.x",,"astro-ph",,"  The evolution of a stellar bar transforms not only the galactic disk, but
also the host dark matter halo. We present high resolution, fully
self-consistent N-body simulations that clearly demonstrate that dark matter
halo central density cusps flatten as the bar torques the halo. This effect is
independent of the bar formation mode and occurs even for rather short bars.
The halo and bar evolution is mediated by resonant interactions between orbits
in the halo and the bar pattern speed, as predicted by linear Hamiltonian
perturbation theory. The bar lengthens and slows as it loses angular momentum,
a process that occurs even in rather warm disks. We demonstrate that the bar
and halo response can be critically underestimated for experiments that are
unable to resolve the relevant resonant dynamics; this occurs when the phase
space in the resonant region is under sampled or plagued by noise.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 20:01:02 GMT""}]","2009-11-10"
